site_id,month_year,actual_kwh,expected_kwh,performance_ratio,deviation_kwh,deviation_pct,year,month,quarter,month_sin,month_cos,is_summer,is_winter,is_spring,is_autumn,lag_1m,lag_3m,lag_6m,lag_12m,roll_avg_3m,expected_roll_3m,roll_avg_6m,expected_roll_6m,roll_avg_12m,expected_roll_12m,yoy_growth,is_anomaly,has_actual,total_historical_alerts,critical_alerts,medium_alerts,low_alerts,open_alerts,max_impact,avg_impact,inverter_fault_count,string_fault_count,communication_fault_count,grid_fault_count,optimizer_fault_count,module_fault_count,freezing_count,dc_isolation_count,has_critical_alert,alert_types_list
Site_023,2017-10-01,1218.0,2269.0,0.5368003525782283,-1051.0,-46.31996474217717,2017,10,4,-0.8660254037844386,0.5000000000000001,0,0,0,1,1430.0,597.0,1091.0,0.0,1280.0,3267.6666666666665,1262.1666666666667,3260.6666666666665,631.0833333333334,2692.1666666666665,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-11-01,820.0,1737.0,0.4720782959124928,-917.0,-52.79217040875072,2017,11,4,-0.5000000000000004,0.8660254037844384,0,0,0,1,1218.0,1813.0,1547.0,0.0,1487.0,2827.6666666666665,1283.3333333333333,3127.833333333333,732.5833333333334,2691.1666666666665,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2017-12-01,393.0,1607.0,0.2445550715619166,-1214.0,-75.54449284380834,2017,12,4,-2.4492935982947064e-16,1.0,0,1,0,0,820.0,1430.0,1095.0,0.0,1156.0,2302.6666666666665,1162.1666666666667,2854.0,800.9166666666666,2690.5,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-01-01,433.0,1943.0,0.2228512609366958,-1510.0,-77.71487390633041,2018,1,1,0.4999999999999999,0.8660254037844387,0,1,0,0,393.0,1218.0,597.0,0.0,810.3333333333334,1871.0,1045.1666666666667,2569.333333333333,833.6666666666666,2689.833333333333,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-02-01,819.0,2245.0,0.3648106904231626,-1426.0,-63.518930957683736,2018,2,1,0.8660254037844386,0.5000000000000001,0,1,0,0,433.0,820.0,1813.0,0.0,548.6666666666666,1762.3333333333333,1017.8333333333334,2295.0,869.75,2689.0,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-03-01,982.0,2878.0,0.3412091730368311,-1896.0,-65.87908269631689,2018,3,1,1.0,6.123233995736766e-17,0,0,1,0,819.0,393.0,1430.0,0.0,548.3333333333334,1931.6666666666667,852.1666666666666,2117.1666666666665,938.0,2688.083333333333,inf,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-04-01,1532.0,3051.0,0.5021304490331039,-1519.0,-49.78695509668961,2018,4,2,0.8660254037844387,-0.4999999999999998,0,0,1,0,982.0,433.0,1218.0,1091.0,744.6666666666666,2355.333333333333,777.5,2113.1666666666665,1019.8333333333334,2686.9166666666665,0.4042163153070577,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-05-01,2015.0,3363.0,0.5991674100505501,-1348.0,-40.08325899494498,2018,5,2,0.4999999999999999,-0.8660254037844387,0,0,1,0,1532.0,819.0,820.0,1547.0,1111.0,2724.6666666666665,829.8333333333334,2243.5,1056.5833333333333,2685.6666666666665,0.3025210084033614,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-06-01,1937.0,3298.0,0.5873256519102487,-1361.0,-41.26743480897513,2018,6,2,1.2246467991473532e-16,-1.0,1,0,0,0,2015.0,982.0,393.0,1095.0,1509.6666666666667,3097.333333333333,1029.0,2514.5,1095.5833333333333,2684.25,0.7689497716894977,1.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
Site_023,2018-07-01,2292.0,3571.0,0.641837020442453,-1279.0,-35.81629795575469,2018,7,3,-0.4999999999999997,-0.8660254037844388,1,0,0,0,1937.0,1532.0,433.0,597.0,1828.0,3237.333333333333,1286.3333333333333,2796.333333333333,1165.75,2682.833333333333,2.8391959798994977,0.0,1,53,3,3,47,1,6.0,2.0943396226415096,1,12,39,0,35,0,1,4,1,String is not producing | No string communication | No communication with Power Optimizer | Inverter not producing - Shutdown mode | Freezing Conditions on Site | DC Isolation
